Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Number of doctoral degrees awarded in academic year 2013,Number of doctoral degrees awarded in academic year 2014,Number of doctoral degrees awarded in academic year 2015,Number of doctoral degrees awarded in academic year 2016,Number of doctoral degrees awarded in academic year 2017,Number of doctoral degrees awarded in academic year 2018,Number of doctoral degrees awarded in academic year 2019
10004351,Middlesex University,C,23,Education,,,,2,6,7,0,2,2,2
10004351,Middlesex University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,0,1,0,1,3,1
10004351,Middlesex University,D,32,"Art and Design: History, Practice and Theory",,,,5,2.5,3,3,5,1,3
10004351,Middlesex University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2,2.5,3.5,0,3,2,2
10004351,Middlesex University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,1,1,2.5,1,0,2,1
10007799,University of Newcastle,A,1,Clinical Medicine,,,,62.37,70.26,63.32,73.26,77.17,74.79,61.99
10007799,University of Newcastle,A,2,"Public Health, Health Services and Primary Care",,,,11.73,7.03,11.47,6.04,10,8.04,11.16
10007799,University of Newcastle,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,14.4,12.1,14.98,12.6,12.43,10.95,9.41
10007799,University of Newcastle,A,4,"Psychology, Psychiatry and Neuroscience",,,,31.67,29.3,29.22,34.7,37.57,35.13,21.7
10007799,University of Newcastle,A,5,Biological Sciences,,,,21.31,21.55,22.8,32.64,31.63,27.35,27.38
10007799,University of Newcastle,A,6,"Agriculture, Food and Veterinary Sciences",,,,10.56,13.05,10.81,9.29,8.08,18.45,15.9
10007799,University of Newcastle,B,7,Earth Systems and Environmental Sciences,,,,12.31,15.6,12.55,11.49,9.32,20.79,13.68
10007799,University of Newcastle,B,8,Chemistry,,,,15.52,16.94,12.29,8.63,13.39,23.55,23.55
10007799,University of Newcastle,B,10,Mathematical Sciences,,,,6.6,2.75,5.3,10.96,6.41,13.13,12.7
10007799,University of Newcastle,B,11,Computer Science and Informatics,,,,12.93,13,17.34,15.8,20.29,26.48,19.04
10007799,University of Newcastle,B,12,Engineering,,,,86.47,66.9,87.44,87.89,98.33,113.99,101.22
10007799,University of Newcastle,C,13,"Architecture, Built Environment and Planning",,,,7.61,12.46,13.2,17.67,14,15.31,15.68
10007799,University of Newcastle,C,14,Geography and Environmental Studies,,,,3.43,5.69,10.9,3.5,9.87,9.31,6.36
10007799,University of Newcastle,C,15,Archaeology,,,,4,2.5,2,2,2.25,3.42,2.08
10007799,University of Newcastle,C,17,Business and Management Studies,,,,12.63,11.66,14.88,11.29,10.17,20.56,12.55
10007799,University of Newcastle,C,18,Law,,,,6,3,4,6.47,5,4,4.2
10007799,University of Newcastle,C,19,Politics and International Studies,,,,3.72,4.5,3.5,6,7.41,8.85,8.55
10007799,University of Newcastle,C,20,Social Work and Social Policy,,,,0,0.55,0.65,1.79,1.42,1.5,1.1
10007799,University of Newcastle,C,21,Sociology,,,,4.66,4.4,2.4,4.15,2.5,3.42,2.81
10007799,University of Newcastle,C,23,Education,,,,21.78,24.45,27.09,19,15.49,15.19,17.78
10007799,University of Newcastle,D,26,Modern Languages and Linguistics,,,,17.01,24.79,27.58,24.02,33.43,28.45,20.7
10007799,University of Newcastle,D,27,English Language and Literature,,,,10.37,6.5,14.98,7.3,8,6.64,6.04
10007799,University of Newcastle,D,28,History,,,,0.8,3.5,3,2.5,2.75,4.29,3.8
10007799,University of Newcastle,D,29,Classics,,,,1.07,4,2,0,3,1.58,1.92
10007799,University of Newcastle,D,32,"Art and Design: History, Practice and Theory",,,,2.03,1.86,2.5,4.8,0.95,4.41,4.8
10007799,University of Newcastle,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,3.41,5.46,6.6,4.4,6,1.63,5.4
10007799,University of Newcastle,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,8.62,1.2,10.2,5.81,4.13,8.83,5.5
10007832,Newman University,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,0,0,0,0,0,0
10007832,Newman University,C,20,Social Work and Social Policy,,,,0,0,0,0,0,0,0
10007832,Newman University,C,23,Education,,,,0,0,0,0,0,0,0
10007832,Newman University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,2,0,0,0,0,0
10007832,Newman University,D,27,English Language and Literature,,,,0,0,0,0,0,0,0
10007832,Newman University,D,28,History,,,,0,0,0,0,0,0,0
10007832,Newman University,D,31,Theology and Religious Studies,,,,0,0,0,0,0,0,0
10007138,University of Northampton,A,2,"Public Health, Health Services and Primary Care",,,,0,3,6,6,4,8,1
10007138,University of Northampton,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,0,1,5,1,1,2
10007138,University of Northampton,A,5,Biological Sciences,,,,4,3,2,3,0,1,4
10007138,University of Northampton,B,12,Engineering,,,,1,1,4,0,1,6,1
10007138,University of Northampton,C,14,Geography and Environmental Studies,,,,1,2,2,2,3,1,1
10007138,University of Northampton,C,16,Economics and Econometrics,,,,0,0,0,0,0,0,0
10007138,University of Northampton,C,17,Business and Management Studies,,,,4,3,0,3,4,6,9
10007138,University of Northampton,C,21,Sociology,,,,1,2,2,1,2,0,0
10007138,University of Northampton,C,23,Education,,,,3,7,2,4,8,5,2
10007138,University of Northampton,D,27,English Language and Literature,,,,3,5,3,3,2,2,3
10007138,University of Northampton,D,28,History,,,,1,4,1,0,0,1,1
10007138,University of Northampton,D,32,"Art and Design: History, Practice and Theory",,,,2,1,1,0,0,0,1
10001282,University of Northumbria,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,17,17,23,21,27,17,14
10001282,University of Northumbria,A,4,"Psychology, Psychiatry and Neuroscience",,,,6,5,5,8,6,6,6
10001282,University of Northumbria,B,11,Computer Science and Informatics,,,,6,5,6,12,14,17,19
10001282,University of Northumbria,B,12,Engineering,,,,21,20,16,20,25,25,18
10001282,University of Northumbria,C,13,"Architecture, Built Environment and Planning",,,,4,4,7,3,5,2,4
10001282,University of Northumbria,C,14,Geography and Environmental Studies,,,,6,1,4,10,8,7,10
10001282,University of Northumbria,C,17,Business and Management Studies,,,,17,19,10,9,16,18,17
10001282,University of Northumbria,C,18,Law,,,,0,2,4,4,6,1,11
10001282,University of Northumbria,C,20,Social Work and Social Policy,,,,4,5,5,8,16,9,13
10001282,University of Northumbria,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,10,4,3,10,2,8,13
10001282,University of Northumbria,D,27,English Language and Literature,,,,4,9,3,5,8,14,7
10001282,University of Northumbria,D,28,History,,,,3,2,5,6,6,7,5
10001282,University of Northumbria,D,32,"Art and Design: History, Practice and Theory",,,,4,10,11,12,13,17,20
10004775,Norwich University of the Arts,D,32,"Art and Design: History, Practice and Theory",,,,0,1,0,2,1,4,1
10004797,Nottingham Trent University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,10,17,13,8,12,14,11
10004797,Nottingham Trent University,A,4,"Psychology, Psychiatry and Neuroscience",,,,7,4,9,5,8,12,9
10004797,Nottingham Trent University,B,11,Computer Science and Informatics,,,,5,5,5,4,6,5,4
10004797,Nottingham Trent University,B,12,Engineering,,,,10,5,7,2,8,5,2
10004797,Nottingham Trent University,C,13,"Architecture, Built Environment and Planning",,,,2,5,6,10,9,6,4
10004797,Nottingham Trent University,C,14,Geography and Environmental Studies,,,,1,2,3,0,4,4,3
10004797,Nottingham Trent University,C,17,Business and Management Studies,,,,13,22,18,11,14,16,16
10004797,Nottingham Trent University,C,18,Law,,,,4,3,2,3,4,6,6
10004797,Nottingham Trent University,C,20,Social Work and Social Policy,,,,3,3,1,5,4,4,6
10004797,Nottingham Trent University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,2,0,5,0,4,2
10004797,Nottingham Trent University,D,27,English Language and Literature,,,,3,1,4,1,3,5,3
10004797,Nottingham Trent University,D,28,History,,,,2,1,4,0,0,5,1
10004797,Nottingham Trent University,D,32,"Art and Design: History, Practice and Theory",,,,5,9,10,4,6,5,2
10004797,Nottingham Trent University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,3,1,4,6,4,1,2
10007154,University of Nottingham,A,1,Clinical Medicine,,,,53.61,64.37,62.1,66.44,57.6,53.08,54.4
10007154,University of Nottingham,A,2,"Public Health, Health Services and Primary Care",,,,10.81,8.32,14.47,11.08,9.37,10.99,4.02
10007154,University of Nottingham,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,53.76,53.11,55.25,73.54,68.47,66.6,47.68
10007154,University of Nottingham,A,4,"Psychology, Psychiatry and Neuroscience",,,,41.6,32.27,45.19,55.18,53.65,49.23,50.05
10007154,University of Nottingham,A,5,Biological Sciences,,,,52.06,58.45,55.82,52.28,73.91,72.14,69.88
10007154,University of Nottingham,A,6,"Agriculture, Food and Veterinary Sciences",,,,54.98,69.9,76.14,82.34,84.64,68.67,79.27
10007154,University of Nottingham,B,8,Chemistry,,,,53.9,37.89,39.3,53.42,46.86,41.9,42.08
10007154,University of Nottingham,B,9,Physics,,,,30.68,35.17,21.5,35.18,28.11,24.07,26.27
10007154,University of Nottingham,B,10,Mathematical Sciences,,,,18.12,30.75,22.12,18.72,29.62,24.35,27.34
10007154,University of Nottingham,B,11,Computer Science and Informatics,,,,20.08,19.77,29.1,22.6,31.62,16.3,18.02
10007154,University of Nottingham,B,12,Engineering,,,,145.99,123.2,133.93,142.32,159.47,147.85,135.65
10007154,University of Nottingham,C,14,Geography and Environmental Studies,,,,17,12.5,10.56,12.09,13.3,13.78,15.2
10007154,University of Nottingham,C,16,Economics and Econometrics,,,,6,6,2.5,9,15.5,6,4.16
10007154,University of Nottingham,C,17,Business and Management Studies,,,,22.75,33.66,28.5,35.64,24.13,30.27,16.16
10007154,University of Nottingham,C,18,Law,,,,5.5,12.75,12,8,12.9,12.17,11.2
10007154,University of Nottingham,C,19,Politics and International Studies,,,,10.5,13.5,11.16,17.95,7.8,16.3,7.6
10007154,University of Nottingham,C,20,Social Work and Social Policy,,,,27.65,33.35,27.1,22.57,21.3,18.37,20.58
10007154,University of Nottingham,C,22,Anthropology and Development Studies,,,,2.5,6,5.84,4,10,7.34,8.01
10007154,University of Nottingham,C,23,Education,,,,29.91,24.5,31.5,24.93,28.93,32,21.43
10007154,University of Nottingham,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,2,4.74,5.92,3.44,1.32,3.5,3.81
10007154,University of Nottingham,D,25,Area Studies,,,,5,5.5,8,6,4,2.5,5
10007154,University of Nottingham,D,26,Modern Languages and Linguistics,,,,10.2,7.7,11.7,5.9,6.5,3,9.3
10007154,University of Nottingham,D,27,English Language and Literature,,,,17.6,7.5,20.8,20.9,13.6,13,14.53
10007154,University of Nottingham,D,28,History,,,,7,12.8,13,3.55,11,12.2,9
10007154,University of Nottingham,D,29,Classics,,,,6,5,5,4.73,12.9,6.5,6.5
10007154,University of Nottingham,D,30,Philosophy,,,,3,3.2,6,1.9,4.3,4.7,3.3
10007154,University of Nottingham,D,31,Theology and Religious Studies,,,,4,7.3,5,9,8.2,6.8,3
10007154,University of Nottingham,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2.5,1.9,1,3.8,3,3.5,1.5
10007154,University of Nottingham,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,12.3,7.9,8.5,6.1,7,10.89,10
10007773,Open University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,4,6,4,6,2,5,4
10007773,Open University,A,4,"Psychology, Psychiatry and Neuroscience",,,,2,1,4,4,3,1,0
10007773,Open University,B,7,Earth Systems and Environmental Sciences,,,,6,9,8,2,3,6,3
10007773,Open University,B,9,Physics,,,,11,13,15,14,16,12,8
10007773,Open University,B,10,Mathematical Sciences,,,,2,3,3,4,2,3,7
10007773,Open University,B,11,Computer Science and Informatics,,,,11,14,6,10,10,3,10
10007773,Open University,B,12,Engineering,,,,6,3,6,4,5,2,7
10007773,Open University,C,14,Geography and Environmental Studies,,,,2,1,4,1,1,2,0
10007773,Open University,C,17,Business and Management Studies,,,,3,2,7,4,7,5,8
10007773,Open University,C,18,Law,,,,0,0,0,0,0,0,0
10007773,Open University,C,19,Politics and International Studies,,,,2,4,1,1,2,0,1
10007773,Open University,C,20,Social Work and Social Policy,,,,8,3,5,5,2,5,5
10007773,Open University,C,22,Anthropology and Development Studies,,,,2,4,3,2,2,2,6
10007773,Open University,C,23,Education,,,,29,30,15,17,15,15,31
10007773,Open University,D,27,English Language and Literature,,,,7,2,4,2,5,1,2
10007773,Open University,D,28,History,,,,2,2,2,1,3,0,8
10007773,Open University,D,29,Classics,,,,1,0,1,4,4,0,1
10007773,Open University,D,30,Philosophy,,,,1,1,0,0,1,0,3
10007773,Open University,D,31,Theology and Religious Studies,,,,2,1,1,0,1,3,0
10007773,Open University,D,32,"Art and Design: History, Practice and Theory",,,,1,9,4,4,4,2,1
10007773,Open University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,1,2,2,1,3,4,3
10007774,University of Oxford,A,1,Clinical Medicine,,,,122.91,141.09,107.15,120.99,183.17,148.52,161.43
10007774,University of Oxford,A,2,"Public Health, Health Services and Primary Care",,,,16,19.84,9.66,19.09,38.41,21.25,22.56
10007774,University of Oxford,A,4,"Psychology, Psychiatry and Neuroscience",,,,55.66,39.33,62.51,46.66,57.09,57.84,67.52
10007774,University of Oxford,A,5,Biological Sciences,,,,124.17,105.12,126.33,136.42,119.09,141.89,115.34
10007774,University of Oxford,B,7,Earth Systems and Environmental Sciences,,,,13.5,10,14.67,12,17.5,20.25,11.67
10007774,University of Oxford,B,8,Chemistry,,,,91.3,106,97.76,97.5,88.33,99.66,97.5
10007774,University of Oxford,B,9,Physics,,,,82.7,81.17,72.5,82.34,72.16,84.33,72.33
10007774,University of Oxford,B,10,Mathematical Sciences,,,,56.87,68.91,63.73,58.75,69.34,73.59,77.41
10007774,University of Oxford,B,11,Computer Science and Informatics,,,,37.38,31.22,30.43,29.25,41.58,35.75,37
10007774,University of Oxford,B,12,Engineering,,,,87.01,100.82,118.42,98.5,114.5,136.25,115.74
10007774,University of Oxford,C,14,Geography and Environmental Studies,,,,25.5,23.18,37.84,24.67,24.5,33.67,33.33
10007774,University of Oxford,C,15,Archaeology,,,,19.5,25,24.33,29.17,16.5,25.4,19.17
10007774,University of Oxford,C,16,Economics and Econometrics,,,,23.5,26,21,21.2,29,19.5,22
10007774,University of Oxford,C,17,Business and Management Studies,,,,9.5,8,8,14.83,6.83,8.5,9.5
10007774,University of Oxford,C,18,Law,,,,36,28.5,45.33,40.5,31.5,30.99,39.5
10007774,University of Oxford,C,19,Politics and International Studies,,,,45.5,43.5,43,35.49,47.5,46.5,35.99
10007774,University of Oxford,C,20,Social Work and Social Policy,,,,12,15.5,9,13.5,12,11.5,11.5
10007774,University of Oxford,C,21,Sociology,,,,17.5,12,15.5,9,8,13.5,16
10007774,University of Oxford,C,22,Anthropology and Development Studies,A,22A - Anthropology,,18,16.83,18,17,24.5,23,7.5
10007774,University of Oxford,C,22,Anthropology and Development Studies,B,22B - Development Studies,,10.5,12.5,16.17,15,20.5,20,13.5
10007774,University of Oxford,C,23,Education,,,,16,18,19,15,19,26.5,17
10007774,University of Oxford,D,25,Area Studies,,,,21.5,24,28.17,33.16,23.9,28.5,25.5
10007774,University of Oxford,D,26,Modern Languages and Linguistics,A,26A - Modern Languages,,31.5,25,19,32,26,22.5,32.5
10007774,University of Oxford,D,26,Modern Languages and Linguistics,B,26B - Linguistics,,8,7,8,10,10.6,3,11
10007774,University of Oxford,D,27,English Language and Literature,,,,33,42.5,40,31.5,24.5,28,30
10007774,University of Oxford,D,28,History,,,,53.5,56.5,60,53.47,62.5,44,54.5
10007774,University of Oxford,D,29,Classics,,,,23,17,28.83,19.5,15.17,19.6,24
10007774,University of Oxford,D,30,Philosophy,,,,18.5,17.5,13.17,14.51,10.5,14.51,24.01
10007774,University of Oxford,D,31,Theology and Religious Studies,,,,27,23.5,26.5,20,17,27.5,24
10007774,University of Oxford,D,32,"Art and Design: History, Practice and Theory",,,,3,5.5,3,5,4.5,3,5
10007774,University of Oxford,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,8,6,13,14,13.33,5,10
10004930,Oxford Brookes University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,4,13,4,4,5,7
10004930,Oxford Brookes University,A,4,"Psychology, Psychiatry and Neuroscience",,,,3,2,1,1,0,3,5
10004930,Oxford Brookes University,A,5,Biological Sciences,,,,7,5,5,16,16,14,18
10004930,Oxford Brookes University,B,11,Computer Science and Informatics,,,,2,3,2,5,3,0,3
10004930,Oxford Brookes University,B,12,Engineering,,,,5,4,4,0,3,4,1
10004930,Oxford Brookes University,C,13,"Architecture, Built Environment and Planning",,,,6,5,7,11,4,3,10
10004930,Oxford Brookes University,C,14,Geography and Environmental Studies,,,,1,2,0,1,0,1,3
10004930,Oxford Brookes University,C,17,Business and Management Studies,,,,5,15,9,15,8,12,12
10004930,Oxford Brookes University,C,18,Law,,,,1,2,0,2,1,5,1
10004930,Oxford Brookes University,C,19,Politics and International Studies,,,,2,3,2,0,1,1,2
10004930,Oxford Brookes University,C,23,Education,,,,2,2,2,3,5,8,1
10004930,Oxford Brookes University,D,27,English Language and Literature,,,,1,1,3,2,1,5,6
10004930,Oxford Brookes University,D,28,History,,,,6,5,9,9,3,4,5
10004930,Oxford Brookes University,D,32,"Art and Design: History, Practice and Theory",,,,2,2,1,2,2,3,0
10004930,Oxford Brookes University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,1,2,2,2,2,0,1
10007801,University of Plymouth,A,1,Clinical Medicine,,,,6,4,8,7,10,13,14
10007801,University of Plymouth,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,8,9,6,11,13,5,10
10007801,University of Plymouth,A,4,"Psychology, Psychiatry and Neuroscience",,,,17,20,17,13,27,24,8
10007801,University of Plymouth,A,6,"Agriculture, Food and Veterinary Sciences",,,,21,11,7,11,10,9,1
10007801,University of Plymouth,B,7,Earth Systems and Environmental Sciences,,,,14,14,19,14,11,10,12
10007801,University of Plymouth,B,10,Mathematical Sciences,,,,2,2,2,1,2,5,3
10007801,University of Plymouth,B,11,Computer Science and Informatics,,,,16,14,10,18,12,19,15
10007801,University of Plymouth,B,12,Engineering,,,,11,16,9,18,11,13,10
10007801,University of Plymouth,C,13,"Architecture, Built Environment and Planning",,,,3,4,2,1,0,3,1
10007801,University of Plymouth,C,14,Geography and Environmental Studies,,,,6,5,0,10,2,2,3
10007801,University of Plymouth,C,17,Business and Management Studies,,,,15,14,26,17,23,13,20
10007801,University of Plymouth,C,18,Law,,,,3,2,2,1,0,2,2
10007801,University of Plymouth,C,20,Social Work and Social Policy,,,,7,6,1,4,4,1,2
10007801,University of Plymouth,C,23,Education,,,,3,5,4,3,8,9,10
10007801,University of Plymouth,D,27,English Language and Literature,,,,0,2,3,0,2,1,1
10007801,University of Plymouth,D,28,History,,,,4,4,1,0,3,0,2
10007801,University of Plymouth,D,32,"Art and Design: History, Practice and Theory",,,,5,18,9,15,13,8,9
10007801,University of Plymouth,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2,2,1,5,2,2,2
10007155,University of Portsmouth,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,10,18,24,14,14,16,8
10007155,University of Portsmouth,A,4,"Psychology, Psychiatry and Neuroscience",,,,2,6,3,9,5,9,13
10007155,University of Portsmouth,B,7,Earth Systems and Environmental Sciences,,,,6,11,7,8,6,8,8
10007155,University of Portsmouth,B,9,Physics,,,,6,4,7,4,4,7,7
10007155,University of Portsmouth,B,10,Mathematical Sciences,,,,2,1,1,1,4,3,2
10007155,University of Portsmouth,B,11,Computer Science and Informatics,,,,4,8,10,9,10,17,5
10007155,University of Portsmouth,B,12,Engineering,,,,6,3,13,9,10,14,6
10007155,University of Portsmouth,C,14,Geography and Environmental Studies,,,,3,3,1,1,4,1,2
10007155,University of Portsmouth,C,17,Business and Management Studies,,,,9,16,11,16,20,10,16
10007155,University of Portsmouth,C,18,Law,,,,0,5,1,1,2,0,1
10007155,University of Portsmouth,C,20,Social Work and Social Policy,,,,4,13,12,13,23,10,16
10007155,University of Portsmouth,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,1,3,3,2,0,3,4
10007155,University of Portsmouth,D,25,Area Studies,,,,6,3,4,3,4,6,5
10007155,University of Portsmouth,D,27,English Language and Literature,,,,1,3,2,0,2,2,2
10007155,University of Portsmouth,D,32,"Art and Design: History, Practice and Theory",,,,2,4,1,1,1,0,2
10007155,University of Portsmouth,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,1,6,1,0,0,2,2
10005337,Queen Margaret University,A,2,"Public Health, Health Services and Primary Care",,,,1,3,6,4,4,2,3
10005337,Queen Margaret University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,7,10,5,6,5,10,4
10005337,Queen Margaret University,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,0,0,3,2,1,3
10005337,Queen Margaret University,C,17,Business and Management Studies,,,,4,2,3,3,0,5,1
10005337,Queen Margaret University,C,21,Sociology,,,,2,0,0,1,0,1,0
10005337,Queen Margaret University,D,26,Modern Languages and Linguistics,,,,1,1,4,0,2,2,2
10005337,Queen Margaret University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,1,1,3,3,4,0,0
10007775,Queen Mary University,A,1,Clinical Medicine,,,,60,74.7,69.25,65.2,59.6,69.1,77.75
10007775,Queen Mary University,A,2,"Public Health, Health Services and Primary Care",,,,3.3,7.2,7.6,3.4,8.1,6.7,6
10007775,Queen Mary University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,12.7,10.1,7.7,5.5,12,11.7,9.45
10007775,Queen Mary University,A,5,Biological Sciences,,,,17,12,15.95,20.76,24,24.75,28.8
10007775,Queen Mary University,B,8,Chemistry,,,,4.3,7.8,13.6,4,6.4,8.6,10.15
10007775,Queen Mary University,B,9,Physics,,,,12.2,18.2,13,18,21.7,16,21.05
10007775,Queen Mary University,B,10,Mathematical Sciences,,,,6,9,7,13.4,11.9,6.5,15.9
10007775,Queen Mary University,B,11,Computer Science and Informatics,,,,28,29.5,36.5,33.75,41.2,42.85,43.3
10007775,Queen Mary University,B,12,Engineering,,,,26.5,33,39.2,50.4,47.9,56.15,47.05
10007775,Queen Mary University,C,14,Geography and Environmental Studies,,,,4,16,12.2,15.84,16.35,6.95,12
10007775,Queen Mary University,C,16,Economics and Econometrics,,,,7,5,4,7,4,7,9
10007775,Queen Mary University,C,17,Business and Management Studies,,,,5.5,8,8,5.5,8.65,5,7.55
10007775,Queen Mary University,C,18,Law,,,,21,24.5,15.2,16.5,21.6,17,22
10007775,Queen Mary University,C,19,Politics and International Studies,,,,3,5.7,6.5,6,9.9,6,8
10007775,Queen Mary University,D,26,Modern Languages and Linguistics,A,Linguistics,,2,1,4,0,4,5.7,3.2
10007775,Queen Mary University,D,26,Modern Languages and Linguistics,B,Modern Languages,,2,5.5,2.8,2,5.8,2.9,2.6
10007775,Queen Mary University,D,27,English Language and Literature,,,,16,10,5.5,12.4,11,8,8.1
10007775,Queen Mary University,D,28,History,,,,18,9.3,11,21.3,13.4,8.3,11.6
10007775,Queen Mary University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",A,Drama,,7.84,8.5,6,6.25,7.5,5,1
10007775,Queen Mary University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",B,Film,,4.66,4,1,3.8,3,2.8,1
10005343,Queen's University Belfast,A,2,"Public Health, Health Services and Primary Care",,,,12,6,13,12,11,13.54,16
10005343,Queen's University Belfast,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,61,49,57,61,69,68.52,62.5
10005343,Queen's University Belfast,A,4,"Psychology, Psychiatry and Neuroscience",,,,26,22.3,22,25,33.97,14.69,25.75
10005343,Queen's University Belfast,A,6,"Agriculture, Food and Veterinary Sciences",,,,30,33,41,31,47,29,37.5
10005343,Queen's University Belfast,B,8,Chemistry,,,,14,16,12,17,17,20,16
10005343,Queen's University Belfast,B,9,Physics,,,,25,21,22,28,16,27,28
10005343,Queen's University Belfast,B,10,Mathematical Sciences,,,,3,3,3,7,2,3,3
10005343,Queen's University Belfast,B,12,Engineering,,,,68,57,37,42,52,41.6,50
10005343,Queen's University Belfast,C,13,"Architecture, Built Environment and Planning",,,,5,7,3,3,4,3,4
10005343,Queen's University Belfast,C,14,Geography and Environmental Studies,,,,5,5,5,4,5,4,5
10005343,Queen's University Belfast,C,15,Archaeology,,,,3,2,3,8,5,4,1
10005343,Queen's University Belfast,C,17,Business and Management Studies,,,,7,9,8,11,11,6,11
10005343,Queen's University Belfast,C,18,Law,,,,11,15,11,11,9,16,16
10005343,Queen's University Belfast,C,19,Politics and International Studies,,,,7,6,9,10,6,5,8
10005343,Queen's University Belfast,C,20,Social Work and Social Policy,,,,13,14,8,7,12.27,6.73,7.73
10005343,Queen's University Belfast,C,22,Anthropology and Development Studies,,,,7,6,7,5,6,5.5,2
10005343,Queen's University Belfast,C,23,Education,,,,16,13,23,25,20.46,20.92,17.27
10005343,Queen's University Belfast,D,26,Modern Languages and Linguistics,,,,7,4,6,12,10,9.5,6
10005343,Queen's University Belfast,D,27,English Language and Literature,,,,18,9,16.5,9.5,5.5,11.5,5
10005343,Queen's University Belfast,D,28,History,,,,11,5,4,13,10,14.2,7
10005343,Queen's University Belfast,D,30,Philosophy,,,,2,0,1,2,0,3,1
10005343,Queen's University Belfast,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,21,11.7,18.5,10.5,6.8,5.5,8.25
10005389,Ravensbourne University,D,32,"Art and Design: History, Practice and Theory",,,,0,0,0,0,0,0,0
10007802,University of Reading,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,19.2,29.5,30.5,28.84,31.6,41,27
10007802,University of Reading,A,4,"Psychology, Psychiatry and Neuroscience",,,,19.84,9.5,15.5,11,16.1,17.3,18
10007802,University of Reading,A,5,Biological Sciences,,,,9,11.83,9.5,12,17,13.6,13
10007802,University of Reading,A,6,"Agriculture, Food and Veterinary Sciences",,,,38.16,41.67,49,42,42,36,26
10007802,University of Reading,B,7,Earth Systems and Environmental Sciences,,,,18.25,17,23.5,25.17,25,24.25,26.5
10007802,University of Reading,B,8,Chemistry,,,,13.8,14.5,6.9,10,8.5,10.5,10.5
10007802,University of Reading,B,10,Mathematical Sciences,,,,8.55,5.5,8.1,10.73,5.1,7.35,9.5
10007802,University of Reading,B,11,Computer Science and Informatics,,,,10.8,6,2,9,6,8,3.5
10007802,University of Reading,C,13,"Architecture, Built Environment and Planning",,,,18.2,18,21.5,19.1,18,18.5,13
10007802,University of Reading,C,15,Archaeology,,,,7,5,10.5,5,10.4,9,4
10007802,University of Reading,C,17,Business and Management Studies,,,,32.7,28,27.5,35.66,39,41.5,38.5
10007802,University of Reading,C,18,Law,,,,2,3,3,1,8,4,5.5
10007802,University of Reading,C,19,Politics and International Studies,,,,4,14,7,3.5,7.5,4,8.5
10007802,University of Reading,C,22,Anthropology and Development Studies,,,,15.5,12.5,4,7,11.5,7.5,11.5
10007802,University of Reading,C,23,Education,,,,2,11,16.5,18.8,20.8,22.5,20.5
10007802,University of Reading,D,26,Modern Languages and Linguistics,,,,7.5,4,2,1.5,10.4,15.5,8.5
10007802,University of Reading,D,27,English Language and Literature,,,,6,9,3,3.2,3.5,4.5,5
10007802,University of Reading,D,28,History,,,,7.5,6,5.5,1.5,4.6,7,4
