Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Income source,Income for academic year 2013-14,Income for academic year 2014-15,Average income for academic years 2015-16 to 2019-20,Average income for academic years 2013-14 to 2019-20,Total income for academic years 2013-14 to 2019-20
10007783,University of Aberdeen,B,12,Engineering,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","1,176,082","1,051,623","407,374","609,225","4,264,575"
10007783,University of Aberdeen,B,12,Engineering,,,,UK-based charities (open competitive process),"233,760","418,901","211,162","244,067","1,708,471"
10007783,University of Aberdeen,B,12,Engineering,,,,UK-based charities (other),"62,131","37,195","64,509","60,267","421,872"
10007783,University of Aberdeen,B,12,Engineering,,,,"UK central government bodies/local authorities, health and hospital authorities","107,387","238,284","465,024","381,542","2,670,794"
10007783,University of Aberdeen,B,12,Engineering,,,,UK central government tax credits for research and development expenditure,0,"104,000","38,200","42,142","295,000"
10007783,University of Aberdeen,B,12,Engineering,,,,"UK industry, commerce and public corporations","349,622","263,098","830,088","680,451","4,763,162"
10007783,University of Aberdeen,B,12,Engineering,,,,UK other sources,"16,566","42,117","23,329","25,047","175,331"
10007783,University of Aberdeen,B,12,Engineering,,,,EU government bodies,"489,502","434,180","783,794","691,807","4,842,653"
10007783,University of Aberdeen,B,12,Engineering,,,,EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,B,12,Engineering,,,,"EU industry, commerce and public corporations","171,967","124,841","80,333","99,781","698,473"
10007783,University of Aberdeen,B,12,Engineering,,,,EU (excluding UK) other,0,130,0,18,130
10007783,University of Aberdeen,B,12,Engineering,,,,Non-EU-based charities (open competitive process),"433,934","34,565","37,265","93,546","654,826"
10007783,University of Aberdeen,B,12,Engineering,,,,Non-EU industry commerce and public corporations,"18,429","31,970","233,245","173,803","1,216,626"
10007783,University of Aberdeen,B,12,Engineering,,,,Non-EU other,"17,631",0,"13,960","12,490","87,431"
10007783,University of Aberdeen,B,12,Engineering,,,,Total income,"3,077,011","2,780,904","3,188,285","3,114,192","21,799,344"
10007783,University of Aberdeen,C,15,Archaeology,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","413,646","370,903","206,312","259,444","1,816,112"
10007783,University of Aberdeen,C,15,Archaeology,,,,UK-based charities (open competitive process),"153,601","66,016","170,453","153,126","1,071,884"
10007783,University of Aberdeen,C,15,Archaeology,,,,UK-based charities (other),"55,560","51,634","29,863","36,644","256,511"
10007783,University of Aberdeen,C,15,Archaeology,,,,"UK central government bodies/local authorities, health and hospital authorities","12,983","24,872","15,758","16,664","116,649"
10007783,University of Aberdeen,C,15,Archaeology,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007783,University of Aberdeen,C,15,Archaeology,,,,"UK industry, commerce and public corporations",0,0,"4,751","3,393","23,756"
10007783,University of Aberdeen,C,15,Archaeology,,,,UK other sources,-127,-79,73,22,160
10007783,University of Aberdeen,C,15,Archaeology,,,,EU government bodies,0,0,304,217,"1,523"
10007783,University of Aberdeen,C,15,Archaeology,,,,EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,C,15,Archaeology,,,,"EU industry, commerce and public corporations",0,0,501,357,"2,505"
10007783,University of Aberdeen,C,15,Archaeology,,,,EU (excluding UK) other,0,0,0,0,0
10007783,University of Aberdeen,C,15,Archaeology,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,C,15,Archaeology,,,,Non-EU industry commerce and public corporations,0,"48,719","17,391","19,382","135,676"
10007783,University of Aberdeen,C,15,Archaeology,,,,Non-EU other,0,719,-273,-92,-649
10007783,University of Aberdeen,C,15,Archaeology,,,,Total income,"635,663","562,784","445,136","489,161","3,424,127"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","81,434","143,009","138,160","130,749","915,246"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,UK-based charities (open competitive process),"26,101","15,136","34,070","30,226","211,587"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,UK-based charities (other),"12,066","9,597","7,437","8,407","58,849"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,"UK central government bodies/local authorities, health and hospital authorities","36,286","63,304","69,812","64,093","448,653"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,"UK industry, commerce and public corporations","103,211","170,526","99,006","109,824","768,768"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,UK other sources,"14,024",-498,"6,101","6,290","44,035"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,EU government bodies,"145,495","79,782","65,313","78,834","551,844"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,EU (excluding UK) other,0,0,0,0,0
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,Non-EU other,0,0,"1,057",755,"5,286"
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,Total income,"418,617","480,856","420,959","429,181","3,004,268"
10007783,University of Aberdeen,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","40,685","52,233","8,085","19,049","133,347"
10007783,University of Aberdeen,C,18,Law,,,,UK-based charities (open competitive process),"13,219","56,397","21,363","25,205","176,435"
10007783,University of Aberdeen,C,18,Law,,,,UK-based charities (other),"11,516","6,524","6,458","7,190","50,330"
